Uid,r_id
11821,22175
11822,12709
11823,34961
11823,36879
7374,37734
11824,20276
11824,43637
11825,44052
11826,41504
11827,7842
11828,23764
11828,33594
11828,35552
11829,29673
11830,37583
11831,19636
11832,258
11832,28580
11832,37720
11832,37726
11833,37971
11834,23085
11834,29924
11835,21182
11835,45004
11835,50001
11836,23425
11836,35488
11837,33727
11837,37962
11837,46622
11838,4776
11838,20282
11838,32326
11838,35552
11839,26721
11840,46293
11841,793
11841,1369
11841,20282
11841,31469
11841,33594
11841,37720
11841,44052
11841,49012
11842,35680
11843,29950
11844,31393
11844,32326
11844,34273
11844,39351
11845,4879
11846,39351
11846,51960
11847,22745
11847,29426
11847,41818
11848,4879
11848,51540
11849,14964
11849,40644
11850,30447
11850,39273
11851,20996
11851,21335
11851,29680
11852,21335
11853,20231
11854,42484
11855,813
11855,15247
11855,29924
11855,40130
1510,23764
11856,1112
11856,7582
11857,39349
11858,22833
11859,43312
11860,21335
11860,41818
11861,51960
11862,37361
11863,48609
11864,38016
11865,33195
11866,35651
11867,37583
11868,12809
11869,37952
11870,22259
11870,40538
11870,45004
11871,20941
11871,34273
11871,46735
11871,49074
11872,15470
11872,19271
11873,44061
11873,45527
11874,37556
11875,5874
11876,18806
11877,40457
11878,506
11878,17005
11878,42189
11878,45004
11878,47488
11879,37962
11880,37583
11881,11596
11881,40121
11881,49074
11350,32380
8163,629
8163,18829
8163,23048
8163,30606
8163,33498
8163,37808
8163,38087
8163,38983
8163,42217
11882,41941
11883,35651
11883,36879
11884,30606
11884,40287
1353,21912
11885,21396
11886,19636
11887,12275
11888,2980
11889,2958
11889,11596
11889,35021
11890,28145
11891,35552
11891,45004
11891,50006
11892,50001
11893,44166
2317,22314
2317,34140
2317,38087
2317,45649
11894,189
11895,34582
11895,41818
11896,27452
11897,2906
11897,21639
11897,50351
11898,837
11899,2762
11899,31397
11899,49181
11899,50414
11900,50414
11901,555
11901,2884
11901,33311
11902,27138
11902,49123
11903,29673
11904,28928
11904,49012
11905,50001
11906,41818
11907,31397
11908,1155
11909,2881
11909,38207
11910,49012
38,28473
38,30378
38,30959
38,32578
38,33296
38,39037
38,50010
38,50050
38,51419
11911,22745
11912,676
11912,9795
11913,549
11914,224
11915,47325
11916,953
11917,29133
11918,50001
11919,37583
11920,9795
11920,37952
11921,48132
11922,4879
11923,22992
11924,543
11924,20094
11924,21753
11924,22382
11924,27452
11924,33594
11924,37720
11924,49746
49,3020
49,22357
49,33594
49,34273
49,37583
49,44052
11925,28462
11926,32326
11927,20941
11927,29465
11927,35926
11928,7570
11928,37556
11929,21182
11929,29617
11929,31347
11929,46622
11930,22259
11930,37962
11930,46735
5499,224
5499,813
5499,1443
5499,21753
5499,32704
5499,48233
11931,238
11932,25425
11933,37361
11933,37583
11933,41935
11933,49746
11934,1368
11935,153
11935,9885
11935,24037
11935,34273
11935,37952
11935,49717
11935,50414
11936,29617
6428,50001
10529,43312
10529,44052
11937,2898
11938,19060
11939,7570
11939,20189
11939,29950
11939,37556
11940,29673
1839,153
1839,341
1839,1443
1839,8943
1839,12613
1839,12805
1839,21182
1839,28462
1839,28614
1839,29617
1839,29673
1839,33796
1839,35651
1839,36879
1839,42217
1839,49144
1839,50612
1839,51465
11941,37536
11942,52495
11943,791
11943,16925
11943,19882
11943,22321
11943,22338
11943,34582
11943,37971
11943,40288
11943,42129
11944,22125
11945,29133
11946,33334
11946,35089
11947,39091
11948,26707
11949,4167
11950,9256
11951,20737
11951,48118
8805,30243
11952,22338
11952,22743
11952,37583
55,22175
55,48118
11953,32326
11954,37556
11955,34601
11956,245
11957,20942
11957,21335
11957,21481
11957,26913
11957,35926
11957,35941
11957,37556
11957,37726
11958,20854
11959,15955
11960,420
11961,47979
11962,20094
11963,28473
11964,38207
11965,954
11965,48215
11966,41830
11966,52499
1139,22357
1139,52495
11967,35680
11967,45004
11967,50007
11968,221
11968,37974
11968,48118
11969,46622
11970,11174
11971,7570
11971,51857
11972,22314
11973,555
11973,20282
11973,34273
11973,42189
11974,27452
2482,19882
2482,30606
2482,52431
11975,31393
11976,37583
11977,40611
11978,29617
11979,20469
11980,46858
11980,49626
11981,48884
11982,35680
7389,1348
7389,24769
7389,34490
7389,37808
7389,49181
11983,32381
11983,38291
11983,40801
11984,33594
11985,22175
11986,50414
11987,40130
11988,50143
11989,4923
5496,813
5496,38760
11990,25364
11990,36720
11991,20050
11992,33594
11993,70
11993,20942
11994,13398
11995,12997
11996,37361
11997,21912
10279,20200
